Geneid,SC2,SC2yuan,SC3,SC3yuan
ENSMUSG00000026073,0,1,0,0
ENSMUSG00000097899,0,0,0,0
ENSMUSG00000102975,0,0,0,0
ENSMUSG00000026072,37,8,33,10
ENSMUSG00000103560,0,0,0,0
ENSMUSG00000070942,0,6,0,3
ENSMUSG00000103230,0,0,0,0
ENSMUSG00000026069,371,28,327,51
ENSMUSG00000026070,10,0,11,0
ENSMUSG00000026068,1657,93,1312,69
ENSMUSG00000104441,0,0,0,0
ENSMUSG00000026065,307,18,257,15
ENSMUSG00000102676,0,0,0,0
ENSMUSG00000026062,0,2,1,0
ENSMUSG00000103679,0,0,0,0
ENSMUSG00000103270,3,0,2,0
ENSMUSG00000041945,73,7,50,9
ENSMUSG00000079588,0,0,0,0
ENSMUSG00000094136,0,0,0,0
ENSMUSG00000104072,0,0,0,0
ENSMUSG00000100185,0,0,0,0
ENSMUSG00000100832,0,3,0,0
ENSMUSG00000100178,0,2,0,2
ENSMUSG00000101877,0,0,0,0
ENSMUSG00000053640,0,0,0,0
ENSMUSG00000101919,0,0,0,0
ENSMUSG00000101299,0,0,0,0
ENSMUSG00000100180,0,0,0,0
ENSMUSG00000103106,0,0,0,0
ENSMUSG00000060424,0,0,0,0
ENSMUSG00000104199,0,0,0,0
ENSMUSG00000093436,0,0,0,0
ENSMUSG00000045515,0,1,0,3
ENSMUSG00000097063,0,0,0,0
ENSMUSG00000099784,0,0,0,0
ENSMUSG00000060679,1173,127,1142,175
ENSMUSG00000077448,0,0,0,0
ENSMUSG00000041907,0,5,0,2
ENSMUSG00000070939,627,244,652,277
ENSMUSG00000100269,0,0,0,0
ENSMUSG00000041878,4,0,2,0
ENSMUSG00000010290,647,102,643,114
ENSMUSG00000008136,0,135,0,145
ENSMUSG00000094497,484,52,589,49
ENSMUSG00000099576,0,0,0,0
ENSMUSG00000099694,1,4,0,1
ENSMUSG00000101923,0,8,0,8
ENSMUSG00000066877,0,1009,0,1129
ENSMUSG00000103422,0,0,0,0
ENSMUSG00000103945,0,0,0,0
ENSMUSG00000026051,1,8,0,3
ENSMUSG00000100764,3,0,2,0
ENSMUSG00000100635,1,0,2,0
ENSMUSG00000100480,6,0,1,0
ENSMUSG00000057363,354,969,379,1192
ENSMUSG00000090243,6,172,4,234
ENSMUSG00000100701,7,63,14,65
ENSMUSG00000101395,0,2,0,21
